Unix time,low,high,open,close,volume
1630447260,46880.99,46929.79,46929.79,46880.99,0.132556
1630447320,46880.99,46913.12,46881.01,46913.1,0.01024458
1630447380,46913.1,46990.83,46913.12,46990.81,1.34255348
1630447440,46976.98,46990.83,46990.83,46980.31,0.00255225
1630447500,46975.7,46980.33,46980.33,46979.99,0.2725524
1630447560,46979.99,46998.97,46980.01,46998.89,1.11255156
1630447620,46955.44,47185,46998.91,46955.44,1.41255085
1630447680,46955.44,46982.01,46955.46,46981.99,0.00255288
1630447740,46981.98,46997.82,46982.01,46997.8,0.00255195
1630447800,46970.39,49360.12,46997.82,46970.39,1.48503271
1630447860,46970.39,46993,46970.41,46992.98,0.00255199
1630447920,46949.99,46997.28,46993,46949.99,0.0025528
1630447980,46949.99,46996.04,46950.01,46996.02,0.00255291
1630448040,46950.01,46996.04,46996.04,46950.01,0.00255255
1630448100,46924.58,46957.32,46950.03,46924.58,1.63442763
1630448160,46915,46957.32,46924.6,46915,0.0054071
1630448220,46908.07,46915.02,46915.02,46908.07,0.00291839
1630448280,46908.07,46915.02,46908.09,46915,0.00255597
1630448340,46913,46918.15,46915.02,46918.13,0.00255585
1630448400,46902.37,46920.01,46918.15,46902.37,1.0046829
1630448460,46889.99,46921.01,46902.39,46890.01,1.55255664
1630448520,46889.99,46892.39,46890.01,46892.37,0.00255717
1630448580,46892.37,46898,46892.39,46892.79,0.0025569
1630448640,46852.36,46892.81,46892.81,46852.36,0.0025578
1630448700,46824.99,46870.48,46852.38,46824.99,1.20255907
1630448760,46814.98,46829.33,46825.01,46814.98,0.0025608
1630448820,46796,46919.09,46815,46919.07,2.07234713
1630448880,46899.03,46919.09,46919.09,46899.03,0.00255627
1630448940,46882,46899.05,46899.05,46882.98,0.00255741
1630449000,46877.24,46883,46883,46882.04,0.21468648
1630449060,46882.04,46902.85,46882.06,46902.81,1.08255678
1630449120,46902,46902.83,46902.83,46902,0.00255651
1630449180,46892,46902.02,46902.02,46892,0.00255684
1630449240,46850.86,46892.02,46892.02,46850.86,1.32255789
1630449300,46815.34,49360.12,46850.88,46815.34,1.45867486
1630449360,46801.63,46815.36,46815.36,46801.63,0.00256176
1630449420,46801.63,46826.14,46801.65,46826.12,0.00472407
1630449480,46824.47,46830.01,46826.14,46829.99,0.00256068
1630449540,46791.87,46840,46830.01,46791.87,0.00256094
1630449600,46775.56,46791.89,46791.89,46784.09,0.26469596
1630449660,46784.09,46825.14,46784.11,46825.12,0.91256212
1630449720,46825.12,46863.6,46825.14,46863.58,0.00472174
1630449780,46863.58,46900.01,46863.6,46899.99,0.00255766
1630449840,46899.99,49360.12,46900.01,46910.48,0.00867125
1630449900,46910.48,49360.12,46910.5,46968.99,1.47291456
1630449960,46968.99,47032.1,46969.01,47032.08,0.00255144
1630450020,47032.08,47062.52,47032.1,47062.5,0.00254868
1630450080,47034.27,49360.12,47062.52,47034.27,0.01081556
1630450140,47034.27,47068.7,47034.29,47059.57,0.00254808
1630450200,47043.72,47059.59,47059.59,47043.72,10.80466889
1630450260,47031.99,47043.74,47043.74,47031.99,0.62254934
1630450320,47031.99,47084.62,47032.01,47084.6,2.15365354
1630450380,47084.6,47098.01,47084.62,47097.99,0.00254622
1630450440,47089.98,47098.01,47098.01,47097.99,0.00254613
1630450500,47043.88,47098.01,47098.01,47093.48,1.07469762
1630450560,47066.32,47093.5,47093.5,47066.32,0.00254715
1630450620,47064.17,47066.34,47066.34,47064.17,0.00254769
1630450680,47060,47064.95,47064.19,47064.93,0.00254784
1630450740,47064.87,47098.01,47064.95,47097.99,0.00254727
1630450800,47068.36,47098.01,47098.01,47068.36,0.04566608
1630450860,47064.99,47068.38,47068.38,47064.99,0.17362304
1630450920,47064.99,47072.25,47065.01,47072.23,0.23333527
1630450980,47065,47072.25,47072.25,47065,0.00254753
1630451040,47018.2,47065.02,47065.02,47018.22,1.09276132
1630451100,47014.92,47022.01,47018.22,47021.99,0.46255021
1630451160,47021.99,47055.65,47022.01,47055.63,0.88254907
1630451220,47055.63,47070,47055.65,47069.98,0.002548
1630451280,47069.98,47160.72,47069.98,47140.49,0.00354405
1630451340,47140.49,47161.84,47140.51,47154.72,0.00254288
1630451400,47154.72,47170.25,47154.74,47170.23,0.25465903
1630451460,47160.11,47191.86,47170.25,47191.84,0.76254201
1630451520,47191.84,47231.69,47191.86,47212.99,0.0035395
1630451580,47169.88,49360.12,47213.01,47169.88,0.07589438
1630451640,47169.88,47192.01,47169.9,47191.99,0.00254141
1630451700,47152.81,47204.92,47192.01,47152.81,1.30254103
1630451760,47152.81,47170.03,47152.83,47158,0.01254241
1630451820,47155.99,47162.97,47158.02,47155.99,0.01254259
1630451880,47146.99,47156.01,47156.01,47146.99,0.01254316
1630451940,47143.65,47147.07,47147.01,47147.05,0.01254334
1630452000,47146.3,47150.01,47147.07,47149.99,0.09466001
1630452060,47143.35,47150.01,47150.01,47149.98,0.04254328
1630452120,47136.6,47150,47150,47136.6,0.40254361
1630452180,47136.6,47150.32,47136.62,47149.08,0.00254332
1630452240,47124.99,47150.32,47149.1,47124.99,0.55254352
1630452300,47107.82,47147.01,47125.01,47146.99,1.21254463
1630452360,47145.63,47150.01,47147.01,47149.99,0.00254326
1630452420,47149.99,47199,47150.01,47198.98,0.01254244
1630452480,47198.98,47205.24,47199,47202.86,0.00254027
1630452540,47179.67,47206.57,47202.88,47179.67,0.00254046
1630452600,47179.67,49360.12,47179.69,47214.43,0.01077164
1630452660,47214.43,49360.12,47214.45,47253.04,1.29965476
1630452720,47253.04,47308.01,47253.06,47307.99,0.00253566
1630452780,47307.99,49360.12,47308.01,47334.18,0.00865101
1630452840,47306.68,49360.12,47334.2,47306.68,0.01898618
1630452900,47299.99,47306.7,47306.7,47303.98,0.00253486
1630452960,47285.5,47304,47304,47285.5,1.21253517
1630453020,47285.49,47288.29,47285.52,47285.49,0.0027468
1630453080,47285.49,47286.82,47285.51,47286.8,0.00253575
1630453140,47264.59,47286.82,47286.82,47264.59,0.41253602
1630453200,47230.38,47264.61,47264.61,47230.38,0.00464921
1630453260,47222.16,47247.51,47230.4,47247.49,1.00253877
1630453320,47247.49,47252.55,47247.51,47252.52,0.48232632
1630453380,47252.52,47268.87,47252.54,47254.99,0.1125371
1630453440,47254.99,49360.12,47255.01,47270.99,0.01886791
1630453500,47254.61,49360.12,47271.01,47254.61,0.00886452
1630453560,47254.61,47260.9,47254.63,47257.09,0.33253728
1630453620,47257.09,47271.01,47257.11,47266.17,0.51253683
1630453680,47255.68,47271.63,47266.19,47271.4,0.02253696
1630453740,47271.4,47285.01,47271.42,47279.52,0.09211365
1630453800,47262.8,47279.54,47279.54,47269.91,0.00464758
1630453860,47256.07,47269.93,47269.93,47256.07,0.74253704
1630453920,47222.01,47256.09,47256.09,47222.01,0.56322443
1630453980,47221.44,47222.03,47222.03,47221.44,0.00253924
1630454040,47221.44,47263.86,47221.46,47262.18,2.10968289
1630454100,47233.62,47286.52,47262.2,47233.62,0.9925368
1630454160,47193.6,47233.64,47233.64,47199.28,0.98254014
1630454220,47179,47199.3,47199.3,47179,0.00254085
1630454280,47125.03,47233.64,47179.02,47125.03,0.00254293
1630454340,47125.03,47137.22,47125.05,47133.74,0.002544
1630454400,47093.98,47233.64,47133.76,47093.98,0.00466213
1630454460,47059.26,47094,47094,47072.17,1.53469464
1630454520,46996.92,47094,47072.19,46996.92,0.00254905
1630454580,46904.35,47094,46996.94,46904.35,0.10255343
1630454640,46904.35,47094,46904.37,46999.53,0.00255249
1630454700,46999.53,47216.01,46999.55,47215.99,1.36190809
1630454760,47215.99,47305.84,47216.01,47227.1,1.64253701
1630454820,47130.99,47242.07,47227.12,47130.99,1.08253983
1630454880,47130.99,47233.83,47131.01,47233.81,0.00254034
1630454940,47188.47,47233.83,47233.83,47215.07,0.00254004
1630455000,47161.1,49360.12,47215.09,47184.51,0.01077155
1630455060,47114.03,47184.53,47184.53,47114.03,1.12254376
1630455120,47089.05,47114.05,47114.05,47089.05,0.00254607
1630455180,47043.18,47089.07,47089.07,47043.18,0.00254733
1630455240,47018.82,47079.37,47043.2,47079.35,0.00254907
1630455300,47029.71,47184.53,47079.37,47029.71,0.00254715
1630455360,47029.71,49360.12,47029.73,47068.23,1.70288928
1630455420,47058.23,47102.68,47068.25,47102.66,0.00254733
1630455480,47102.66,49360.12,47102.68,47117.46,0.00866061
1630455540,47044.61,47117.48,47117.48,47044.61,0.00254685
1630455600,47044.61,47095.36,47044.63,47095.34,0.00466878
1630455660,47013.9,47095.36,47095.36,47013.9,1.34677823
